experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score,split,accuracy,macro_f1
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331,val_night,0.4379474940334129,0.3910944066157887
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331,cis_night,0.5587392550143266,0.4740752502952472
day_to_night_resnet101_loss_focal_seed42,day_to_night_resnet101_loss_focal_seed42_20260509_142506,42,day_to_night,resnet101,101,none,focal,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_loss_focal_seed42_20260509_142506,5,macro_f1,0.6181641440018331,trans_night,0.42470713525026627,0.27337428671391817
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142354,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142354,5,macro_f1,0.6354648009815014,val,0.7194719471947195,0.6354648009815014
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142354,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142354,5,macro_f1,0.6354648009815014,val_night,0.4892601431980907,0.5070770082303375
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142354,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142354,5,macro_f1,0.6354648009815014,cis_night,0.600764087870105,0.5350760364884405
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142354,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142354,5,macro_f1,0.6354648009815014,trans_night,0.47710330138445156,0.29104811031173067
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142425,5,macro_f1,0.6354648009815014,val,0.7194719471947195,0.6354648009815014
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142425,5,macro_f1,0.6354648009815014,val_night,0.4892601431980907,0.5070770082303375
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142425,5,macro_f1,0.6354648009815014,cis_night,0.600764087870105,0.5350760364884405
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142425,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142425,5,macro_f1,0.6354648009815014,trans_night,0.47710330138445156,0.29104811031173067
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142925,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142925,5,macro_f1,0.6354648009815014,val,0.7194719471947195,0.6354648009815014
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142925,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142925,5,macro_f1,0.6354648009815014,val_night,0.4892601431980907,0.5070770082303375
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142925,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142925,5,macro_f1,0.6354648009815014,cis_night,0.600764087870105,0.5350760364884405
day_to_night_resnet101_seed42,day_to_night_resnet101_seed42_20260509_142925,42,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed42_20260509_142925,5,macro_f1,0.6354648009815014,trans_night,0.47710330138445156,0.29104811031173067
day_to_night_resnet101_seed43,day_to_night_resnet101_seed43_20260509_142355,43,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed43_20260509_142355,9,macro_f1,0.648315093445039,val,0.7227722772277227,0.648315093445039
day_to_night_resnet101_seed43,day_to_night_resnet101_seed43_20260509_142355,43,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed43_20260509_142355,9,macro_f1,0.648315093445039,val_night,0.5441527446300716,0.5222655213455165
day_to_night_resnet101_seed43,day_to_night_resnet101_seed43_20260509_142355,43,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed43_20260509_142355,9,macro_f1,0.648315093445039,cis_night,0.5966252785737026,0.4707668566785971
day_to_night_resnet101_seed43,day_to_night_resnet101_seed43_20260509_142355,43,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed43_20260509_142355,9,macro_f1,0.648315093445039,trans_night,0.4338658146964856,0.2550179440874766
day_to_night_resnet101_seed44,day_to_night_resnet101_seed44_20260509_142353,44,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed44_20260509_142353,5,macro_f1,0.7060755642622427,val,0.7475247524752475,0.7060755642622427
day_to_night_resnet101_seed44,day_to_night_resnet101_seed44_20260509_142353,44,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed44_20260509_142353,5,macro_f1,0.7060755642622427,val_night,0.5310262529832935,0.4864056793020544
day_to_night_resnet101_seed44,day_to_night_resnet101_seed44_20260509_142353,44,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed44_20260509_142353,5,macro_f1,0.7060755642622427,cis_night,0.6335561922954474,0.5205122475473175
day_to_night_resnet101_seed44,day_to_night_resnet101_seed44_20260509_142353,44,day_to_night,resnet101,101,none,cross_entropy,balanced,none,none,/scratch1/xdeng713/cs567_followup_runs/day_to_night_resnet101_seed44_20260509_142353,5,macro_f1,0.7060755642622427,trans_night,0.549520766773163,0.32018062122075686
night_to_day_resnet50_cw_none_sampler_class_balanced_seed42,night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,42,night_to_day,resnet50,50,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,12,macro_f1,0.6970550432176915,val,0.6992840095465394,0.6970550432176915
night_to_day_resnet50_cw_none_sampler_class_balanced_seed42,night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,42,night_to_day,resnet50,50,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,12,macro_f1,0.6970550432176915,val_day,0.533003300330033,0.47678016827795605
night_to_day_resnet50_cw_none_sampler_class_balanced_seed42,night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,42,night_to_day,resnet50,50,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,12,macro_f1,0.6970550432176915,cis_day,0.585805700988947,0.5512939108754913
night_to_day_resnet50_cw_none_sampler_class_balanced_seed42,night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,42,night_to_day,resnet50,50,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_sampler_class_balanced_seed42_20260509_142824,12,macro_f1,0.6970550432176915,trans_day,0.4788799240626483,0.3669709017881975
night_to_day_resnet50_cw_none_seed42,night_to_day_resnet50_cw_none_seed42_20260509_142652,42,night_to_day,resnet50,50,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_seed42_20260509_142652,8,macro_f1,0.696676907372636,val,0.7028639618138425,0.696676907372636
night_to_day_resnet50_cw_none_seed42,night_to_day_resnet50_cw_none_seed42_20260509_142652,42,night_to_day,resnet50,50,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/night_to_day_resnet50_cw_none_seed42_20260509_142652,8,macro_f1,0.696676907372636,val_day,0.3927392739273927,0.4241246576046575
