experiment_name,run_id,seed,scenario,backbone,depth,train_intervention,loss,class_weight_mode,train_sampler,image_ablation,run_dir,best_epoch,selection_metric,best_score,split,class_name,f1
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,cat,0.3153153153153153
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,coyote,0.6272189349112426
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,dog,0.6988564167725541
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,opossum,0.674744211093161
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,rabbit,0.28846153846153844
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,raccoon,0.5289435600578871
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,rodent,0.07142857142857142
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,skunk,0.47980997624703087
cross_location_resnet101_cw_none_sampler_class_balanced_seed42,cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,42,cross_location,resnet101,101,none,cross_entropy,none,class_balanced,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_sampler_class_balanced_seed42_20260509_142422,6,macro_f1,0.6936604305833839,trans,squirrel,0.5523809523809524
cross_location_resnet101_cw_none_seed42,cross_location_resnet101_cw_none_seed42_20260509_142432,42,cross_location,resnet101,101,none,cross_entropy,none,none,none,/scratch1/xdeng713/cs567_followup_runs/cross_location_resnet101_cw_none_seed42_20260509_142432,9,macro_f1,0.7352324356603798,val,bird,0.7295597484276729
